eje,propuestas,participacion_porcentaje,concrecion_promedio,meta_cuantitativa_porcentaje,horizonte_temporal_porcentaje
Otros / sin eje específico,590,21.5,27.8,21.4,14.2
Institucionalidad,455,16.6,28.7,13.4,15.8
Economía,395,14.4,38.0,30.6,20.0
Seguridad,297,10.8,31.3,13.5,12.1
Infraestructura,220,8.0,33.3,22.7,15.5
Ambiente,212,7.7,31.4,26.9,22.6
Salud,195,7.1,31.1,24.1,13.3
Empleo,147,5.4,33.7,23.8,23.1
Energía,96,3.5,33.8,27.1,18.8
Educación,94,3.4,35.2,16.0,9.6
Política social,41,1.5,40.1,31.7,34.1
