partido,enunciados_detectados,propuestas_criterio_operativo,porcentaje_operativo,concrecion_promedio,porcentaje_meta_cuantitativa,porcentaje_horizonte_temporal,porcentaje_costo_o_financiamiento,ejes_principales
Ahora Nación,228,157,68.9,33.5,45.2,13.4,26.1,Otros / sin eje específico | Economía | Ambiente
Alianza Electoral Venceremos,97,63,64.9,32.1,23.8,4.8,49.2,Economía | Otros / sin eje específico | Institucionalidad
Alianza para el Progreso,38,31,81.6,41.0,41.9,25.8,45.2,Economía | Otros / sin eje específico | Institucionalidad
Avanza País,125,97,77.6,41.2,35.1,44.3,34.0,Otros / sin eje específico | Economía | Institucionalidad
Cooperación Popular,32,30,93.8,34.0,6.7,66.7,26.7,Institucionalidad | Ambiente | Economía
Fe en el Perú,27,14,51.9,22.1,0.0,0.0,21.4,Otros / sin eje específico | Institucionalidad | Ambiente
Frente de la Esperanza,127,69,54.3,27.7,11.6,15.9,31.9,Otros / sin eje específico | Infraestructura | Institucionalidad
Fuerza Popular,197,144,73.1,34.2,29.2,25.0,29.9,Otros / sin eje específico | Economía | Ambiente
Fuerza y Libertad,742,494,66.6,28.9,16.8,8.5,28.3,Otros / sin eje específico | Economía | Ambiente
Integridad Democrática,625,458,73.3,27.5,5.2,3.7,23.8,Institucionalidad | Seguridad | Otros / sin eje específico
Juntos por el Perú,50,29,58.0,35.5,17.2,20.7,44.8,Ambiente | Economía | Institucionalidad
Libertad Popular,62,49,79.0,39.8,36.7,46.9,42.9,Economía | Infraestructura | Institucionalidad
PRIN,8,2,25.0,62.5,50.0,50.0,100.0,Otros / sin eje específico | Energía
Partido Aprista Peruano,60,34,56.7,28.2,20.6,20.6,20.6,Institucionalidad | Economía | Seguridad
Partido Cívico Obras,18,10,55.6,40.0,50.0,20.0,30.0,Energía | Otros / sin eje específico | Infraestructura
Partido Democrático Federal,24,19,79.2,41.1,68.4,15.8,26.3,Economía | Institucionalidad | Energía
Partido Demócrata Unido Perú,11,8,72.7,31.9,0.0,12.5,37.5,Economía | Energía | Institucionalidad
Partido Demócrata Verde,205,123,60.0,29.9,17.9,10.6,13.8,Institucionalidad | Otros / sin eje específico | Economía
Partido Morado,145,91,62.8,36.9,42.9,34.1,44.0,Institucionalidad | Otros / sin eje específico | Salud
Partido Patriótico del Perú,25,18,72.0,33.1,33.3,22.2,22.2,Economía | Otros / sin eje específico | Ambiente
Partido de los Trabajadores y Emprendedores,7,3,42.9,25.0,0.0,0.0,0.0,Política social | Empleo | Otros / sin eje específico
Partido del Buen Gobierno,200,104,52.0,27.5,25.0,6.7,21.2,Otros / sin eje específico | Institucionalidad | Economía
País para Todos,10,8,80.0,23.8,0.0,0.0,12.5,Institucionalidad | Seguridad | Infraestructura
Perú Acción,3,3,100.0,31.7,0.0,0.0,66.7,Economía | Seguridad
Perú Libre,6,2,33.3,35.0,0.0,0.0,50.0,Otros / sin eje específico | Política social
Perú Moderno,53,24,45.3,30.6,16.7,16.7,25.0,Otros / sin eje específico | Economía | Seguridad
Perú Primero,133,93,69.9,39.6,37.6,29.0,36.6,Otros / sin eje específico | Institucionalidad | Economía
Podemos Perú,74,55,74.3,33.2,9.1,30.9,25.5,Economía | Institucionalidad | Otros / sin eje específico
Primero la Gente,267,180,67.4,33.9,21.1,21.7,38.3,Institucionalidad | Economía | Otros / sin eje específico
Progresemos,150,102,68.0,26.6,9.8,7.8,20.6,Otros / sin eje específico | Educación | Economía
Renovación Popular,7,6,85.7,35.8,33.3,16.7,16.7,Otros / sin eje específico | Seguridad | Institucionalidad
Salvemos al Perú,29,22,75.9,41.6,27.3,59.1,22.7,Economía | Seguridad | Ambiente
Somos Perú,88,55,62.5,41.4,58.2,34.5,36.4,Otros / sin eje específico | Economía | Institucionalidad
Sí Creo,18,13,72.2,44.2,61.5,23.1,46.2,Economía | Seguridad | Institucionalidad
Un Camino Diferente,16,14,87.5,31.8,14.3,21.4,35.7,Energía | Institucionalidad | Educación
Unidad Nacional,177,118,66.7,29.2,12.7,17.8,29.7,Otros / sin eje específico | Institucionalidad | Seguridad
